[2025-12-02 16:55:14,038] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 835
[2025-12-02 16:55:14,064] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 835
[2025-12-02 16:57:11,626] INFO [django.server:213] "OPTIONS /v1/products/ HTTP/1.1" 200 0
[2025-12-02 16:57:11,632] WARNING [django.request:253] Bad Request: /v1/products/
[2025-12-02 16:57:11,633] WARNING [django.server:213] "POST /v1/products/ HTTP/1.1" 400 51
[2025-12-02 16:57:11,658] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 835
[2025-12-02 16:57:18,985] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 835
[2025-12-02 16:57:49,160] INFO [django.server:213] "POST /v1/products/ HTTP/1.1" 201 271
[2025-12-02 16:57:49,175] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:57:56,768] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:08,376] INFO [django.server:213] "OPTIONS /v1/products/5/ HTTP/1.1" 200 0
[2025-12-02 16:58:08,395] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 16:58:08,397] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 16:58:08,421] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:13,481] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:13,515] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:24,828] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 16:58:24,829] WARNING [django.server:213] "PUT /v1/products/5/ HTTP/1.1" 404 12890
[2025-12-02 16:58:24,848] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:29,458] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:34,111] WARNING [django.request:253] Not Found: /v1/products/5/
[2025-12-02 16:58:34,112] WARNING [django.server:213] "DELETE /v1/products/5/ HTTP/1.1" 404 12893
[2025-12-02 16:58:34,142] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
[2025-12-02 16:58:37,134] INFO [django.server:213] "GET /v1/products/ HTTP/1.1" 200 1107
